Event Desc,En No,Site Name,Licensee Name,Region No,City Name,State Cd,County Name,License No,Agreement State Ind,Docket No,Unit Ind1,Unit Ind2,Unit Ind3,Reactor Type,Nrc Notified By,Ops Officer,Notification Dt,Notification Time,Event Dt,Event Time,Time Zone,Last Updated Dt,Emergency Class,Cfr Cd1,Cfr Descr1,Cfr Cd2,Cfr Descr2,Cfr Cd3,Cfr Descr3,Cfr Cd4,Cfr Descr4,Staff Name1,Org Abbrev1,Staff Name2,Org Abbrev2,Staff Name3,Org Abbrev3,Staff Name4,Org Abbrev4,Staff Name5,Org Abbrev5,Staff Name6,Org Abbrev6,Staff Name7,Org Abbrev7,Staff Name8,Org Abbrev8,Staff Name9,Org Abbrev9,Staff Name10,Org Abbrev10,Scram Code 1,RX CRIT 1,Initial PWR 1,Initial RX Mode1,Current PWR 1,Current RX Mode 1,Scram Code 2,RX CRIT 2,Initial PWR 2,Initial RX Mode 2,Current PWR 2,Current RX Mode 2,Scram Code 3,RX CRIT 3,Initial PWR 3,Initial RX Mode 3,Current PWR 3,Current RX Mode 3,Event Text
Agreement State,52515,NEW YORK STATE DEPT. OF HEALTH,EASTMAN KODAK COMPANY,1,ROCHESTER,NY,,C1347,Y,,,,,,DANIEL J. SAMSON,DONG HWA PARK,1/27/2017 0:00,13:49,11/1/2016 0:00,10:00,EST,1/27/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,BLAKE WELLING,R1DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - FAILED SEALED SOURCE LEAK TEST  The following information was received via E-mail:  ""On November 1, 2016, Eastman Kodak Company informed the Department [New York State Department of Health] that an NRD Model A-2003 static eliminator sealed source leak test result indicated a measurable contamination of 0.00661 microCuries. The device was taken out of service and another leak test was performed on the unit. The second leak test results showed only 0.0003 microCuries.""  New York Event Report ID No:  NYDOH - NY-16-09"
Power Reactor,52517,RIVER BEND,ENTERGY NUCLEAR,4,ST FRANCISVILLE,LA,WEST FELICIANA,,Y,5000458,1,,,[1] GE-6,STEVEN CARTER,DONG HWA PARK,1/29/2017 0:00,16:30,1/29/2017 0:00,2:09,CST,2/8/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(B),POT RHR INOP,,,,,,,JESSE ROLLINS,R4DO,,,,,,,,,,,,,,,,,,,N,N,0,Cold Shutdown,0,Cold Shutdown,N,N,0,,0,,N,N,0,,0,,"LOSS OF BOTH DIVISIONS OF CONTROL BUILDING CHILL WATER AND VENTILATION SYSTEM   ""At 0209 CST, on January 29, 2017, while the plant was in MODE 4 for a refueling outage, the main control room crew removed the AC/DC inverter in the Division 1, 120 VAC electrical distribution system from service due to an equipment malfunction. Removing the inverter from service caused a loss of the associated 120 VAC instrument  buss. This instrument buss loss caused a trip of the Division 1 Control Building Chill Water and Ventilation system. The Division 2 Control Building Chill Water and Ventilation System was locked out for surveillance testing at the time of the equipment failure. This condition rendered both divisions of Control Building Chill Water and Ventilation Systems unable to perform the support function for cooling Division 1 and 2  AC and DC power distribution systems. These systems are required to support the operability of two required divisions of shutdown cooling.  Division 2 Shutdown Cooling System was in service and remained in service through out the event.   ""The Division 2 Control Building Chill Water and Ventilation System was returned to service at 0220 CST on January 29, 2017.   ""Division 1 Control Building Chill Water remains inoperable pending restoration with the installed backup Division 1 DC/AC inverter. Actions are ongoing to place this component in service and restore the associated 120 VAC instrument buss.   ""The equipment malfunction was limited to the Division 1 inverter. The investigation of the inverter failure is ongoing. This condition is being reported in accordance with 10 CFR 50.72(b)(3)(v)(B).  ""The NRC Senior Resident Inspector has been notified.""  * * * RETRACTION ON 2/8/17 AT 1617 EST FROM STEVEN CARTER TO DONG PARK * * *  ""Engineering has previously performed an evaluation for a loss of Control Building Chill Water and Ventilation, reference Engineering Change-58699. Based on the evaluation, it can be determined that in the event of a Loss of Coolant Accident with a loss of Offsite Power, a loss of all Control Building cooling the Inverter, Battery, and Switchgear Rooms will not exceed 122 deg. F for 2.80 hours or greater with no operator actions required. The 2.8 hours is based on the switchgear room inverters operating which is bounding for the case where the DC equipment room inverters are operating. The 122 deg. F criterion is significant because that is the manufacturer ambient maximum temperature for the Division 3 DC Equipment Room. This is the limiting temperature for the Battery, Inverter, and Switchgear Rooms.  ""During the event, operators performed the dedicated actions of AOP-0060 Loss of Control Building Ventilation and restored Division II Chill Water and Ventilation in 11 minutes. All required actions are in the Control Building, either in the Main Control Room or on the 98 foot Elevation. There are no radiological concerns in the Control Building, such as high radiation areas or contaminated areas. Per Engineering Change-58699, assuming a single operator error, the total time to recover from a single operator error and to complete the standby chiller realignment and start is 76 minutes ([approximately] 1.3 hours) which is less than half of the 2.8 hours established in Engineering Change-58699. Therefore, there was no loss of safety function for Control Building Chill Water and Ventilation.""  The licensee has notified the NRC Resident Inspector. Notified R4DO (Warnick)."
Non-Agreement State,52520,WASHINGTON UNIVERSITY IN ST. LOUIS,WASHINGTON UNIVERSITY IN ST. LOUIS,3,ST. LOUIS,MO,,24-0016711,N,,,,,,SUSAN M. LANGHORST,JEFF HERRERA,1/31/2017 0:00,10:15,4/8/2016 0:00,,CST,2/20/2017 0:00,,35.3045(b),PATIENT INTERVENTION DAMAGE,,,,,,,ERIC DUNCAN,R3DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"PATIENT DELIVERED RADIATION DOSE TO RIGHT LOBE OF LIVER VERSUS LEFT LOBE  The following was received via email:  ""On 4/8/2016 a patient was being treated with Y-90 TheraSpheres. Written directive prescribed 4.15 GBq (117 mCi) Y-90 TheraSpheres to the left liver lobe. The catheter placement was confirmed by the Interventional Radiologist with an angiogram to administer the microspheres to the left liver lobe. The dose of 4.07 GBq of Y-90 TheraSpheres was administered. This patient was part of a study to image the location of the Y-90 TheraSpheres using a PET/MRI unit. The PET/MRI images were taken on 4/15/2016 and were read by a Radiation Oncology Authorized User on 4/16/2016. The PET/MRI images indicated that the majority of the microspheres were deposited in the right liver lobe. The Radiation Safety Officer (RSO) was immediately notified. Evaluation of the incident in accordance with the 'Yttrium-90 Microsphere Brachytherapy Sources and Devices TheraSphere and SIR-Spheres Licensing Guidance' (February 12, 2016, Revision 9) event reporting criteria was done by the RSO, Radiation Safety Committee (RSC) Chairman, Management and Radiation Oncology and the incident was judged not to be a medical event due to unintentional patient intervention. The patient and the physician were notified of the incident.  ""The RSO has been discussing this incident with the University's NRC Region III Lead Inspector [Gattone] over the past few weeks. The Inspector let the RSO know that NRC Headquarters and Region III had determined that the incident is a medical event. The Inspector requested on 1/30/2017 that the RSO report the medical event to the NRC Operations Center.""  A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.  * * * UPDATE FROM SUSAN LANGHORST (RSO) TO HOWIE CROUCH ON 2/20/17 AT 0923 EST * * *   The RSO provided some minor corrections to the organization name as well as correcting one date in the original report. The original report stated that PET/MRI images were taken on 4/15/16 when they were actually taken on 4/8/16.  Notified the R3DO (Pelke) and NMSS (via email)."
Agreement State,52521,OK DEQ RAD MANAGEMENT,"NDE SOLUTIONS, LLC",4,BRYAN,TX,,L05879,Y,,,,,,KEVIN SAMPSON,DONG HWA PARK,1/31/2017 0:00,15:05,1/30/2017 0:00,,CST,1/31/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GEOFFREY MILLER,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - RADIOGRAPHY CAMERA MALFUNCTION  The following report was received via e-mail:  ""We [Oklahoma Department of Environmental Quality] have just been informed of an incident which occurred yesterday (1/30/2017) involving the failure of an industrial radiography source to retract.  The licensee was NDE Solutions, LLC (TX license L05879) operating out of Bryan, TX.  The incident occurred at a temporary job site near Checotah, OK.  The licensee was working in Oklahoma under reciprocity.  According to the report the drive cable failed, it isn't clear whether the source just wouldn't retract or became disconnected.  The source was retrieved yesterday.  The drive cable has been removed from service and is being returned to Texas."""
Non-Agreement State,52524,HENRY FORD HOSPITAL,HENRY FORD HOSPITAL,3,DETROIT,MI,,21-04109-16,N,,,,,,ALAN JACKSON,DONG HWA PARK,2/1/2017 0:00,15:13,1/31/2017 0:00,10:51,EST,2/1/2017 0:00,NON EMERGENCY,35.3045(a)(1),DOSE <> PRESCRIBED DOSAGE,35.3045(a)(3),DOSE TO OTHER SITE > SPECIFIED LIMITS,,,,,ERIC DUNCAN,R3DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,POTENTIAL MEDICAL EVENT  A patient at the Henry Ford Hospital Interventional Radiology Department was prescribed a Y-90 Theraspheres treatment of 60 Gray to the left lobe of the liver.  The Interventional Radiologist administered 46 Gray total to both the right and the left lobe of the liver.  The referring physician has been notified and the licensee has notified the patient.  It is believed that this event will not result in any harm to the patient.  The licensee is in the process of determining corrective action to prevent reoccurrence.    A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.
Agreement State,52525,NE DIV OF RADIOACTIVE MATERIALS,OLSSON ASSOCIATES,4,OMAHA,NE,,02-34-01,Y,,,,,,LARRY HARISIS,MARK ABRAMOVITZ,2/1/2017 0:00,15:41,2/1/2017 0:00,11:00,CST,2/1/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GEOFFREY MILLER,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - LOST/FOUND MOISTURE DENSITY GAUGE  The following report was received via e-mail:  ""Nebraska Department of Health and Human Services, Office of Radiological Health was notified on February 1, 2017, by a representative from Olsson Associates, of a loss and subsequent return of licensed material from the back of a pickup truck on Wednesday, February 1, 2017, in Omaha, Nebraska. The licensed material is a Troxler 3400 series moisture density gauge, serial number 19309, containing 9 mCi of Cs-137 and 44 mCi of Am:Be. The licensee reported to the State that an employee placed the licensed material on the back of the pickup truck and not in the yellow shipping case, and drove away from a temporary jobsite. While the employee made a right hand turn, the Troxler gauge fell out of the truck. A vehicle that was passing nearby found the Troxler gauge and returned it to the licensee about 10 minutes after the employee notified the Radiation Safety Officer. The gauge was visually inspected and no physical damage was found. The gauge was also surveyed to confirm the presence of the source. No elevated readings were found. The licensee has locked the gauge in the yellow shipping container and removed it from service. A follow-up site visit is scheduled and a 30 day written report is to follow.""  Nebraska Event: NE-17-0001  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52526,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,5000321,1,2,,"[1] GE-4,[2] GE-4",KENNETH HUNTER,MARK ABRAMOVITZ,2/1/2017 0:00,16:46,2/1/2017 0:00,16:05,EST,2/1/2017 0:00,UNUSUAL EVENT,50.72(a) (1) (i),EMERGENCY DECLARED,,,,,,,SHAKUR WALKER,R2DO,BRIAN HOLIAN,ET S,LEN WERT,R2DR,JON WALLO,IAT,WILLIAM GOTT,IRD,CHRIS MILLER,NRR,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,90,Power Operation,90,Power Operation,N,N,0,,0,,"UNUSUAL EVENT - POTENTIAL SECURITY EVENT  Plant Hatch declared a notification of unusual event.  Subsequent investigation determined the paraphernalia was related to plant drills.  The Unusual Event was terminated at 1727 EST.  The licensee notified the NRC Resident Inspector.   Notified the DHS SWO, FEMA, NICC, and NNSA (via e-mail).  * * * RETRACTION FROM KENNETH HUNTER TO MARK ABRAMOVITZ AT 1829 EST ON 2/1/2017 * * *  The event was retracted.  The licensee notified the NRC Resident Inspector.  Notified the R2DO (Shakur), NSIR (Holian), IRD MOC (Gott), DHS SWO, FEMA, NICC, and NNSA (via e-mail)."
Power Reactor,52527,QUAD CITIES,EXELON NUCLEAR CO.,3,CORDOVA,IL,ROCK ISLAND,,Y,,,2,,"[1] GE-3,[2] GE-3",JEFFREY KOSCIK,MARK ABRAMOVITZ,2/1/2017 0:00,21:22,2/1/2017 0:00,19:38,CST,2/2/2017 0:00,ALERT,50.72(a) (1) (i),EMERGENCY DECLARED,,,,,,,ERIC DUNCAN,R3DO,CINDY PEDERSON,R3 R,BRIAN McDERMOTT,ET N,WILLIAM GOTT,IRD,CHRIS MILLER,NRR,,,,,,,,,,,N,N,0,,0,,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,"ALERT - FIRE IN SAFETY RELATED SYSTEM  ""On February 1, 2017, at 1929 hours [CST], a fire was discovered on the Unit 2 Main Control Room panel 902-3 in the 3E ERV/ADS valve switch.  A reactor SCRAM was not required.  No automatic isolations/actuations occurred.  The fire was extinguished at 1932 and the reactor remained at 100% power.  ""An Alert was declared at 1938 [CST].  ""The initiation of the event was attempting to change a light bulb.  The cause of the event is under investigation.  ""The Senior Resident Inspector has been notified of the event.""  The licensee entered a 14 day Technical Specification Action statement as a result of the damage to the switch.    Notified DHS SWO, DOE, FEMA, HHS, NICC, USDA, EPA, FDA, NNSA (e-mail), and NRCC SASC (e-mail).  * * * UPDATE AT 0040 EST ON 2/2/17 FROM DAVID KNEPPER TO JEFF HERRERA * * *   Notified that the Alert was terminated at 2336 CST on 2/1/17.  The licensee stated that the fire was extinguished and an extent of condition walkdown did not identify any additional equipment damage as a result of the fire.  The licensee will be issuing a press release.  The licensee will be notifying the NRC Resident Inspector.  Notified the R3DO (Duncan), IRD MOC (Gott), NRR EO (Miller), DHS SWO, DOE, FEMA, HHS, NICC, USDA, EPA, FDA, NNSA (e-mail), and NRCC SASC (e-mail)."
Agreement State,52528,UTAH DIVISION OF RADIATION CONTROL,"KENNECOTT UTAH COPPER, LLC",4,SOUTH JORDAN,UT,,UT 1800289,Y,,,,,,GWYN GALLOWAY,STEVE SANDIN,2/2/2017 0:00,20:44,2/2/2017 0:00,13:30,MST,2/2/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GEOFFREY MILLER,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - FIXED NUCLEAR GAUGE SHUTTER FAILED TO CLOSE DURING PREVENTATIVE MAINTENANCE  The following information was provided by the State of Utah via email:  ""DWMRC [Utah Department of Environmental Quality, Division of Waste Management and Radiation Control] was notified of the event at 4:26 PM MST, on February 2, 2017.   ""The licensee indicated that an employee had been assigned to conduct some preventative maintenance checks on an Ohmart Vega Gauge, Model SH-1, Serial Number 2199CG.  At about 1:30 PM MST, the employee attempted to shut the gauge's shutter and one of the two screws attaching the handle to the shutter sheared off.  The shutter could not be closed after that because the handle would just spin around.  The gauge contained 50 mCi (as assayed 11/01) of Cs-137.  The gauge is located about 10 feet above the walkway in the smelter/slag mill.  The beam is running parallel to the ground and poses no danger to individuals in the building.""  The licensee will remove the gauge and send it to an authorized repair facility.  UT Event Report ID No.:  UT170002"
Agreement State,52529,ILLINOIS EMERGENCY MGMT. AGENCY,ENVIRONMENTAL DESIGN INTERNATIONAL,3,CHICAGO,IL,,GL 9223295,Y,,,,,,DAREN PERRERO,MARK ABRAMOVITZ,2/3/2017 0:00,11:51,1/29/2017 0:00,,CST,2/3/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,ERIC DUNCAN,R3DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - STOLEN X-RAY FLUORESCENT ANALYZER  ""On Sunday evening January 29, 2017 an instrument case containing a portable lead in paint analyzer belonging to an Environmental Design International, Inc. employee was stolen from a vehicle.  The general licensee reported the event the following day to the Agency but had already been in contact with the Chicago Police Department who were investigating.  The theft took place in the Near West Side neighborhood of Chicago while the locked case was in the trunk of a vehicle.  This device can only be operated with a password. The maximum surface radiation level from the device as reported by the  manufacturer does not exceed 0.1 milliR/h.  It contains an IAEA Category 5 level source, the lowest risk category assigned by the IAEA in that no one could be permanently injured by this source and if the radioactive material could be dispersed, would not permanently injure anyone.""  Manufacturer: Niton Model: XLp-300 Serial Number: 84640 Source Manufacturer: Eckert & Ziegler Source Activity: 25 mCi Cd-109 Source Model: XFB-3 Source Serial Number: TR3631  Illinois Event: IL17003  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Non-Agreement State,52530,US COAST GUARD,US COAST GUARD,4,KAPOLEI,HI,,GL  5457-40,N,,,,,,JENNIFER TORRES,MARK ABRAMOVITZ,2/3/2017 0:00,13:50,2/3/2017 0:00,8:00,HST,2/3/2017 0:00,NON EMERGENCY,20.2201(a)(1)(i),LOST/STOLEN LNM>1000X,,,,,,,GEOFFREY MILLER,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"LOST TRITIUM EXIT SIGN  An inventory of the tritium exit signs at US Coast Guard Air Station Barbers Point, Kapolei, HI determined that one sign was missing.  Last test date: January 2001 Quantity of tritium: 7.5 Ci Manufacturer: Isolite Model:  2040 Serial Number: A071367  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52531,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,5000321,1,2,,"[1] GE-4,[2] GE-4",JASON WIGGINS,MARK ABRAMOVITZ,2/3/2017 0:00,16:33,2/3/2017 0:00,14:58,EST,2/3/2017 0:00,NON EMERGENCY,50.72(b)(3)(ii)(B),UNANALYZED CONDITION,,,,,,,SHAKUR WALKER,R2DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,88,Power Operation,88,Power Operation,N,N,0,,0,,"UNANALYZED CONDITION - APPENDIX R FIRE ANALYSIS  ""In preparation for transitioning the Plant Hatch Fire Protection Licensing Basis from 10CFR50.48(b) (Appendix R) to 10CFR50.48(c) (NFPA 805), a weak-link and operator manual action (OMA) analysis for Information Notice (IN) 92-18 type hot shorts on motor-operated valves (MOVs) was performed to support the Plant Hatch Appendix R Safe Shutdown Analysis. As a result of the analysis, it was identified that cable impacts can bypass valve limit and torque switches, resulting in physical damage to valves required for Safe Shutdown. This would prevent the valves from being operated locally or being operated from the remote shutdown panel. These cable failures could also cause the valve motors to fail. This updated analysis has identified circuit configuration deficiencies in Fire Areas 0024 A & C (Main Control Room & Cable Spread Room), 1203F (U1 Reactor Building SE), 1205F (U1 Reactor Building NE), and 2203F (U2 Reactor Building NE). Therefore, due to the identified deficient conditions, it was determined that in the event of a postulated fire in the affected fire areas, the paths of safe shutdown on the affected unit(s) could be compromised and impact the ability to achieve safe shutdown conditions.  ""Compensatory measures were already in place in accordance with the plant's Fire Hazard Analysis (FHA) as a result of previous conditions in these same fire areas. The presence of the compensatory measures in addition to automatic fire detection in these fire areas ensure that the safe shutdown paths are preserved until the degraded conditions can be repaired.  ""CRs 10326399, 10326401, 10326402, 10326404 and 10326405""  The licensee notified the NRC Resident Inspector.    The unanalyzed condition is applicable to 10CFR50.48(b) Appendix R and not to 10CFR50.48(c) (NFPA 805)."
Non-Agreement State,52532,"QAL-TEK ASSOCIATES, LLC","QAL-TEK ASSOCIATES, LLC",4,IDAHO FALLS,ID,,11-27610-01,N,,,,,,MICHAEL ALBANESE,MARK ABRAMOVITZ,2/3/2017 0:00,18:02,1/31/2017 0:00,,MST,2/8/2017 0:00,NON EMERGENCY,20.2201(a)(1)(i),LOST/STOLEN LNM>1000X,,,,,,,GEOFFREY MILLER,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"MOISTURE DENSITY GAUGE SHIPMENT LOST IN TRANSIT  ""On January 18th, 2017, two Troxler nuclear density gauges (NDG's) were shipped via [the common carrier] from our Idaho calibration facility to the client in Amarillo, Texas.  The two gauges (Make: Troxler, Models: 3411 and 3440 Plus, sn: 12605 and 39690) each container 8mCi of Cs-137 and 40 mCi of Am-241/Be were checked in at the Pocatello [the common carrier] hub on January 18th.  The gauges owner notified the Idaho calibration facility on January 31, 2017 inquiring why the gauges have not arrived.  The Idaho calibration facility immediately called [the common carrier] to check the status.   [The common carrier] after tracking and looking for the gauges notified the calibration facility that they were not at the Pocatello hub.  According to [the common carrier's] tracking system as of 1/24/2017, they were still in Pocatello with no further movement toward the Amarillo, Texas destination. On February 1st, the calibration facility then called on the [common carrier] account manager to apprise him of the priority situation. The account manager said he would call each hub from Pocatello to Amarillo, Texas where the gauges should pass through.  The account manager returned the call the same day stating they did not find the gauges in the hub along the anticipated shipping route. The calibration facility continued to pressure [the common carrier] to search their system.  On February 3rd, [the common carrier] initiated a 'corporate flag' for every dock to search for the gauges.  The calibration facility also dispatched an employee with a meter to survey the Pocatello distribution hub floor and storage locations. The gauges were not found at the Pocatello hub during the survey conducted by the calibration facility representative. On February 3rd, the calibration facility RSO contacted the gauges owner to discuss the status and immediate reporting requirement.  Both parties agreed to notify their respective regulators.  On February 6th, the [common carrier] account manager notified the calibration facility stating that they have not made any progress finding the missing gauges in their distribution system.""  See also Event Notification 52533 for this event reported by Texas.  * * * UPDATE AT 1043 EST ON 02/08/17 FROM MICHAEL ALBANESE TO S. SANDIN * * *  The missing gauges were located by [the common carrier] in their Salt Lake City hub and are enroute to the customer in Amarillo, TX.  Notified R4DO (Warnick) and NMSS Events Notifications via email.  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL   Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Agreement State,52533,TEXAS DEPT OF STATE HEALTH SERVICES,AMARILLO TESTING AND ENGINEERING INC.,4,AMARILLO,TX,,L02658,Y,,,,,,ROBERT FREE,MARK ABRAMOVITZ,2/3/2017 0:00,18:45,2/3/2017 0:00,,CST,2/3/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GEOFFREY MILLER,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - MOISTURE DENISTY GAUGE SHIPMENT LOST IN TRANSIT  The following report was received via e-mail:  ""Texas licensee, Amarillo Testing and Engineering, reported that two moisture density gauges being shipped to them from Qal Tek in Idaho Falls had gone missing during shipment. The trucking company, has been unable to locate the packages and last identified them in Pocatello, Idaho. The gauges are Troxler model 3411 and 3440 and each contain an 8 mCi Cs-137 and a 40 mCi Americium- 241 source. The packages were delivered to the carrier on 01/18/2017.""  Texas Incident: I-9460  See also Event Notification 52532 for this event reported from Qual-Tek in Idaho.  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52534,VOGTLE,SOUTHERN NUCLEAR OPERATING COMPANY,2,WAYNESBORO,GA,BURKE,,Y,5000424,1,,,"[1] W-4-LP,[2] W-4-LP",MATTHEW NORRIS,STEVE SANDIN,2/3/2017 0:00,18:56,2/3/2017 0:00,15:45,EST,2/3/2017 0:00,NON EMERGENCY,50.72(b)(2)(iv)(B),RPS ACTUATION - CRITICAL,50.72(b)(3)(iv)(A),VALID SPECIF SYS ACTUATION,,,,,SHAKUR WALKER,R2DO,,,,,,,,,,,,,,,,,,,M/R,Y,100,Power Operation,0,Hot Standby,N,N,0,,0,,N,N,0,,0,,"UNIT 1 MANUAL REACTOR TRIP DUE TO LOOP 1 MSIV STARTING TO FAIL CLOSED  ""At 1545 EST on 2/3/17, Vogtle Unit 1 was manually tripped from 100% power when loop 1 Main Steam Isolation Valve (MSIV) started to fail closed. Non-Safety Related 4160V bus 1NA01 failed to transfer to alternate incoming power supply automatically and was successfully manually energized.  ""All control rods fully inserted and AFW [Auxiliary Feedwater] and FWI [Feedwater Isolation] actuated as expected.  ""Unit 1 is in Mode 3 and stable with decay heat being removed by AFW.""  The licensee informed the NRC Resident Inspector."
Agreement State,52535,LOUISIANA RADIATION PROTECTION DIV,"ALPHA-OMEGA SERVICES, INC.",4,BELLFLOWER,CA,,LA-10025-L01,Y,,,,,,JAMES M. PATE III,DONG HWA PARK,2/6/2017 0:00,12:40,2/6/2017 0:00,,PST,2/6/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GREG WARNICK,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - TRANSPORTATION POSTING INACCURACY  The following report was received from the State of Louisiana via email:  ""Event description:  On February 6, 2017, LDEQ  [Louisiana Department of Environmental Quality] was notified by Alpha-Omega, Inc., that the facility had received three 'EMPTY' Nucletron V2 containers from a Mexico site then transported to the United States, Alpha-Omega Services, Inc., Vinton, Louisiana, 70668.    ""When inspected, two of the containers had Ir-192 sources in them, Model 105.002. Container 2785C6 had source D36F3728, 25 mCi of Ir-192, a QSA Global source. Container 2053C6 had source D36P3481, 351 mCi of Ir-192, an Alpha-Omega, Inc. source.  ""Event Report ID No.:  LA-170002."""
